Name-a,Name-b,jac
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah 1,warung barokah,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung,warung,1.0
warung,warung,1.0
warung,warung,1.0
warung kopi ts20,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi 45,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi sianida,warung kopi,0.6666666666666666
warung kopi adi,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi kudumoro,warung kopi,0.6666666666666666
warung kopi nikmat,warung kopi,0.6666666666666666
warung kopi 80,warung kopi,0.6666666666666666
warung kopi slow,warung kopi,0.6666666666666666
warung kopi papa,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi hatono,warung kopi,0.6666666666666666
warung kopi seni,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung makan,warung makan,1.0
warung makan hari,warung makan,0.6666666666666666
warung makan 46,warung makan,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi d d,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi sianida,warung kopi,0.6666666666666666
warung kopi adi,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi nikmat,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi gf,warung kopi,0.6666666666666666
warung kopi 18,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi kopi,0.6666666666666666
warung kopi al,warung kopi kopi,0.6666666666666666
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi suka kopi,warung kopi kopi,0.6666666666666666
warung kopi kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi surabaya,warung kopi kopi,0.6666666666666666
warung kopi,warung kopi kopi,1.0
warung kopi 45,warung kopi kopi,0.6666666666666666
warung kopi suka suka,warung kopi kopi,0.6666666666666666
warung kopi d d,warung kopi kopi,0.6666666666666666
warung kopi gresik,warung kopi kopi,0.6666666666666666
warung kopi,warung kopi kopi,1.0
warung kopi,warung kopi kopi,1.0
warung kopi surabaya,warung kopi kopi,0.6666666666666666
warung kopi 31,warung kopi kopi,0.6666666666666666
warung kopi barokah,warung kopi kopi,0.6666666666666666
warung kopi ijo,warung kopi kopi,0.6666666666666666
warung kopi suka kopi,warung kopi kopi,0.6666666666666666
warung kopi asli,warung kopi kopi,0.6666666666666666
warung kopi 71,warung kopi kopi,0.6666666666666666
warung kopi joko,warung kopi kopi,0.6666666666666666
warung kopi sadam,warung kopi kopi,0.6666666666666666
warung kopi al,warung kopi kopi,0.6666666666666666
warung kopi 66,warung kopi kopi,0.6666666666666666
warung kopi kenyong,warung kopi kopi,0.6666666666666666
warung kopi 2017,warung kopi kopi,0.6666666666666666
warung kopi santuy,warung kopi kopi,0.6666666666666666
warung kopi wares,warung kopi kopi,0.6666666666666666
warung kopi pojok,warung kopi kopi,0.6666666666666666
warung kopi 35,warung kopi kopi,0.6666666666666666
warung kopi akbar,warung kopi kopi,0.6666666666666666
warung kopi d d,warung kopi kopi,0.6666666666666666
warung kopi biasae,warung kopi kopi,0.6666666666666666
warung kopi cs,warung kopi kopi,0.6666666666666666
warung kopi adi,warung kopi kopi,0.6666666666666666
warung kopi ndaru,warung kopi kopi,0.6666666666666666
warung kopi nikmat,warung kopi kopi,0.6666666666666666
warung kopi 80,warung kopi kopi,0.6666666666666666
warung kopi slow,warung kopi kopi,0.6666666666666666
warung kopi papa,warung kopi kopi,0.6666666666666666
coffee warung kopi,warung kopi kopi,0.6666666666666666
warung kopi hatono,warung kopi kopi,0.6666666666666666
warung kopi seni,warung kopi kopi,0.6666666666666666
warung kopi juice,warung kopi kopi,0.6666666666666666
warung kopi 21,warung kopi kopi,0.6666666666666666
warung kopi 1927,warung kopi kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi d d,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi 45,warung kopi,0.6666666666666666
warung kopi suka suka,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi sianida,warung kopi,0.6666666666666666
warung kopi adi,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi nikmat,warung kopi,0.6666666666666666
warung kopi 80,warung kopi,0.6666666666666666
warung kopi slow,warung kopi,0.6666666666666666
warung kopi papa,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi juice,warung kopi,0.6666666666666666
warung kopi 21,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi riffi,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi riffi,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi riffi,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi suka suka,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi riffi,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi sianida,warung kopi,0.6666666666666666
warung kopi adi,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi ndaru,warung kopi,0.6666666666666666
warung kopi kudumoro,warung kopi,0.6666666666666666
warung kopi 80,warung kopi,0.6666666666666666
warung kopi slow,warung kopi,0.6666666666666666
warung kopi papa,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi seni,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi asli,warung kopi,0.6666666666666666
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi suka suka,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi madura,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi riffi,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
warung kopi 35,warung kopi,0.6666666666666666
warung kopi 45,warung kopi,0.6666666666666666
warung kopi akbar,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi biasae,warung kopi,0.6666666666666666
warung kopi cs,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi sianida,warung kopi,0.6666666666666666
warung kopi adi,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi ndaru,warung kopi,0.6666666666666666
warung kopi kudumoro,warung kopi,0.6666666666666666
warung kopi nikmat,warung kopi,0.6666666666666666
warung kopi 80,warung kopi,0.6666666666666666
warung kopi slow,warung kopi,0.6666666666666666
warung kopi papa,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi seni,warung kopi,0.6666666666666666
warung kopi ts20,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
